user_id,song_id,listen_count,title,release,artist_name,year
a820d2d4f16bbd53be9e41e0417dfb234bfdfba8,SODHVES12A6701CE6B,4,Driving Home For Christmas,The Road To Hell Part 2,Chris Rea,1986
a820d2d4f16bbd53be9e41e0417dfb234bfdfba8,SOGKEGN12AB0185355,26,I Want You Back,Sweet Children O'Mine,Shione Yukawa,0
a820d2d4f16bbd53be9e41e0417dfb234bfdfba8,SOHMTUC12A58A799D4,2,Ort,Cunning Stunts,Cows,1992
a820d2d4f16bbd53be9e41e0417dfb234bfdfba8,SOLXYFV12A8AE45FE3,16,Don't Leave,Insomnia - The Best Of,Faithless,1996
a820d2d4f16bbd53be9e41e0417dfb234bfdfba8,SOUIKSL12A6701D19A,12,Nervous Breakdown,Lords Of Dogtown,Rise Against,2005
a820d2d4f16bbd53be9e41e0417dfb234bfdfba8,SOWHSGK12A6D4FC429,19,Stretchin' Out (In A Rubber Band) (LP Version),Stretchin' Out In Bootsy's Rubber Band,Bootsy Collins,0
2b6c2f33bc0e887ea7c4411f58106805a1923280,SOAUWYT12A81C206F1,6,Undo,Vespertine Live,Bj̦rk,2001
2b6c2f33bc0e887ea7c4411f58106805a1923280,SOBONKR12A58A7A7E0,2,You're The One,If There Was A Way,Dwight Yoakam,1990
2b6c2f33bc0e887ea7c4411f58106805a1923280,SOBYSSP12AAF3B32CA,2,Greenback Dollar,Money - Greenback Dollar,Kingston Trio,0
2b6c2f33bc0e887ea7c4411f58106805a1923280,SOEOLGZ12A8C134706,1,Eternal Flame (Single Version),Eternal Flame,Atomic Kitten,2004
2b6c2f33bc0e887ea7c4411f58106805a1923280,SOFLJQZ12A6D4FADA6,1,Tive Sim,Nova Bis-Cartola,Cartola,1974
2b6c2f33bc0e887ea7c4411f58106805a1923280,SOGAUJB12A8C13BD05,1,The Fear You Won't Fall,Unclear Sky,Joshua Radin,2006
2b6c2f33bc0e887ea7c4411f58106805a1923280,SOGXSJZ12A8AE45AAD,3,Hitsville U.K.,The Singles,The Clash,1980
